Model,Accuracy (default),F1 (class0) default,F1 (class1) default,F1 (macro) default,F1 (class0) tuned,F1 (macro) tuned,Best threshold (class0)
Dummy (most frequent),0.09583333333333334,0.17490494296577946,0.0,0.08745247148288973,0.0,0.474835886214442,1.0
Gradient Boosting,0.8958333333333334,0.5454545454545454,0.9411764705882353,0.7433155080213903,0.037914691943127965,0.14163392589721455,0.14033239720403856
"SVM (RBF, balanced)",0.9041666666666667,0.5818181818181818,0.9458823529411765,0.7638502673796792,0.009569377990430622,0.12286586980702342,0.19278332602911036
Neural Network (MLP),0.9125,0.6037735849056604,0.9508196721311475,0.777296628518404,0.06808510638297872,0.08710377768128527,0.5902178728821902
Random Forest (balanced),0.9166666666666666,0.6,0.9534883720930233,0.7767441860465116,0.07531380753138076,0.07915067969930034,0.555
Logistic Regression (balanced),0.8833333333333333,0.5882352941176471,0.9320388349514563,0.7601370645345518,0.034934497816593885,0.07722820508359575,0.6679320490879228
